EmailID, UserID, MonthID, EmailOpened
"5c929b08c41e4","0","2","1"
"5c929b08c41f1","0","2","1"
"5c929b08c41f7","1","2","1"
"5c929b08c41fd","1","1","0"
"5c929b08c4203","2","3","1"
"5c929b08c4207","2","2","1"
"5c929b08c420c","2","3","1"
"5c929b08c4211","3","2","0"
"5c929b08c4217","4","2","0"
"5c929b08c421b","4","1","0"
"5c929b08c4220","4","2","0"
"5c929b08c4225","5","1","1"
"5c929b08c4231","5","1","1"
"5c929b08c4247","6","1","1"
"5c929b08c4251","7","1","1"
"5c929b08c4259","7","3","1"
"5c929b08c4262","9","1","0"
"5c929b08c426a","9","1","1"
"5c929b08c4273","11","1","0"
"5c929b08c427b","11","2","1"
"5c929b08c4283","12","2","0"
"5c929b08c428c","14","2","1"
"5c929b08c4293","14","1","0"
"5c929b08c429b","14","3","0"
"5c929b08c42a5","18","1","1"
"5c929b08c42ad","18","3","1"
"5c929b08c42b4","18","1","1"
"5c929b08c42b9","18","2","0"
"5c929b08c42be","19","3","1"
"5c929b08c42c3","20","2","1"
"5c929b08c42c8","20","1","0"
"5c929b08c42df","20","1","0"
"5c929b08c42e4","20","2","0"
"5c929b08c42e8","21","3","1"
"5c929b08c4333","22","2","1"
"5c929b08c433b","22","2","1"
"5c929b08c4340","23","3","1"
"5c929b08c4345","23","1","1"
"5c929b08c434a","23","3","0"
"5c929b08c434f","25","3","1"
"5c929b08c4354","25","2","0"
"5c929b08c435b","25","1","1"
"5c929b08c4360","25","3","0"
"5c929b08c4365","26","2","0"
"5c929b08c436a","26","2","1"
"5c929b08c436f","26","3","1"
"5c929b08c4374","26","2","1"
"5c929b08c4379","28","1","1"
"5c929b08c437e","29","2","0"
"5c929b08c4383","29","3","1"
"5c929b08c438a","29","2","1"
"5c929b08c4391","29","1","0"
"5c929b08c4399","30","2","1"
"5c929b08c43a0","30","1","1"
"5c929b08c43a6","30","1","1"
"5c929b08c43b3","30","2","1"
"5c929b08c43ba","32","1","0"
"5c929b08c43c1","32","3","1"
"5c929b08c43c7","32","1","0"
"5c929b08c43d6","32","3","0"
"5c929b08c43dc","33","3","0"
"5c929b08c43e2","34","3","1"
"5c929b08c43e7","34","1","1"
"5c929b08c43ec","34","2","0"
"5c929b08c43f2","37","2","0"
"5c929b08c43f6","37","3","0"
"5c929b08c43fb","37","2","0"
"5c929b08c4400","38","1","1"
"5c929b08c4405","39","3","1"
"5c929b08c440a","39","3","1"
"5c929b08c440f","39","3","0"
"5c929b08c4414","40","2","1"
"5c929b08c4426","40","2","1"
"5c929b08c442b","42","2","1"
"5c929b08c4431","44","1","1"
"5c929b08c4436","44","2","1"
"5c929b08c443b","45","3","1"
"5c929b08c443f","45","3","0"
"5c929b08c4448","45","1","0"
"5c929b08c444d","46","3","1"
"5c929b08c4452","46","1","1"
"5c929b08c4461","46","3","1"
"5c929b08c4466","47","1","0"
"5c929b08c446b","49","1","1"
