UserID, MonthID, ModifiedListing
"0","1","1"
"0","2","1"
"0","3","0"
"1","1","0"
"1","2","1"
"1","3","0"
"2","1","1"
"2","2","1"
"2","3","0"
"3","1","1"
"3","2","1"
"3","3","1"
"4","1","0"
"4","2","1"
"4","3","0"
"5","1","0"
"5","2","0"
"5","3","0"
"6","1","0"
"6","2","0"
"6","3","0"
"7","1","0"
"7","2","1"
"7","3","0"
"8","1","0"
"8","2","1"
"8","3","1"
"9","1","0"
"9","2","0"
"9","3","0"
"10","1","1"
"10","2","1"
"10","3","1"
"11","1","0"
"11","2","0"
"11","3","0"
"12","1","1"
"12","2","0"
"12","3","1"
"13","1","1"
"13","2","0"
"13","3","1"
"14","1","1"
"14","2","1"
"14","3","1"
"15","1","1"
"15","2","0"
"15","3","0"
"16","1","1"
"16","2","0"
"16","3","1"
"17","1","1"
"17","2","1"
"17","3","1"
"18","1","0"
"18","2","0"
"18","3","1"
"19","1","1"
"19","2","0"
"19","3","1"
"20","1","0"
"20","2","1"
"20","3","0"
"21","1","0"
"21","2","1"
"21","3","0"
"22","1","0"
"22","2","0"
"22","3","1"
"23","1","0"
"23","2","1"
"23","3","0"
"24","1","0"
"24","2","0"
"24","3","1"
"25","1","1"
"25","2","1"
"25","3","1"
"26","1","1"
"26","2","0"
"26","3","1"
"27","1","1"
"27","2","0"
"27","3","0"
"28","1","0"
"28","2","1"
"28","3","1"
"29","1","0"
"29","2","0"
"29","3","1"
"30","1","1"
"30","2","1"
"30","3","1"
"31","1","0"
"31","2","1"
"31","3","0"
"32","1","0"
"32","2","1"
"32","3","1"
"33","1","0"
"33","2","1"
"33","3","1"
"34","1","1"
"34","2","0"
"34","3","0"
"35","1","0"
"35","2","1"
"35","3","0"
"36","1","1"
"36","2","1"
"36","3","1"
"37","1","0"
"37","2","1"
"37","3","1"
"38","1","0"
"38","2","0"
"38","3","1"
"39","1","0"
"39","2","0"
"39","3","0"
"40","1","1"
"40","2","1"
"40","3","0"
"41","1","0"
"41","2","0"
"41","3","0"
"42","1","1"
"42","2","0"
"42","3","0"
"43","1","1"
"43","2","1"
"43","3","1"
"44","1","0"
"44","2","0"
"44","3","1"
"45","1","1"
"45","2","0"
"45","3","1"
"46","1","1"
"46","2","0"
"46","3","1"
"47","1","0"
"47","2","0"
"47","3","1"
"48","1","1"
"48","2","0"
"48","3","0"
"49","1","1"
"49","2","0"
"49","3","1"
"50","1","1"
"50","2","1"
"50","3","1"
"51","1","1"
"51","2","0"
"51","3","0"
"52","1","0"
"52","2","1"
"52","3","0"
"53","1","1"
"53","2","0"
"53","3","1"
"54","1","1"
"54","2","1"
"54","3","1"
"55","1","0"
"55","2","0"
"55","3","0"
"56","1","1"
"56","2","1"
"56","3","1"
"57","1","0"
"57","2","0"
"57","3","0"
"58","1","1"
"58","2","0"
"58","3","0"
"59","1","1"
"59","2","0"
"59","3","1"
"60","1","1"
"60","2","0"
"60","3","1"
"61","1","0"
"61","2","0"
"61","3","0"
"62","1","1"
"62","2","0"
"62","3","0"
"63","1","1"
"63","2","0"
"63","3","1"
"64","1","1"
"64","2","1"
"64","3","1"
"65","1","1"
"65","2","0"
"65","3","0"
"66","1","0"
"66","2","0"
"66","3","1"
"67","1","0"
"67","2","1"
"67","3","0"
"68","1","1"
"68","2","1"
"68","3","0"
"69","1","1"
"69","2","0"
"69","3","1"
"70","1","1"
"70","2","0"
"70","3","1"
"71","1","1"
"71","2","1"
"71","3","0"
"72","1","1"
"72","2","1"
"72","3","0"
"73","1","1"
"73","2","0"
"73","3","0"
"74","1","1"
"74","2","0"
"74","3","0"
"75","1","1"
"75","2","1"
"75","3","0"
"76","1","0"
"76","2","1"
"76","3","0"
"77","1","0"
"77","2","0"
"77","3","0"
"78","1","0"
"78","2","0"
"78","3","1"
"79","1","0"
"79","2","1"
"79","3","1"
"80","1","1"
"80","2","0"
"80","3","0"
"81","1","1"
"81","2","1"
"81","3","1"
"82","1","0"
"82","2","0"
"82","3","0"
"83","1","0"
"83","2","0"
"83","3","1"
"84","1","1"
"84","2","1"
"84","3","0"
"85","1","1"
"85","2","0"
"85","3","0"
"86","1","1"
"86","2","1"
"86","3","1"
"87","1","1"
"87","2","1"
"87","3","0"
"88","1","1"
"88","2","0"
"88","3","0"
"89","1","1"
"89","2","0"
"89","3","0"
"90","1","0"
"90","2","0"
"90","3","1"
"91","1","0"
"91","2","1"
"91","3","0"
"92","1","1"
"92","2","1"
"92","3","1"
"93","1","0"
"93","2","0"
"93","3","1"
"94","1","1"
"94","2","1"
"94","3","1"
"95","1","1"
"95","2","0"
"95","3","1"
"96","1","1"
"96","2","0"
"96","3","1"
"97","1","1"
"97","2","0"
"97","3","1"
"98","1","1"
"98","2","1"
"98","3","1"
"99","1","0"
"99","2","1"
"99","3","1"
"100","1","1"
"100","2","0"
"100","3","1"
"101","1","0"
"101","2","0"
"101","3","0"
"102","1","1"
"102","2","1"
"102","3","1"
"103","1","0"
"103","2","0"
"103","3","1"
"104","1","0"
"104","2","0"
"104","3","0"
"105","1","1"
"105","2","1"
"105","3","1"
"106","1","1"
"106","2","1"
"106","3","0"
"107","1","0"
"107","2","0"
"107","3","1"
"108","1","1"
"108","2","0"
"108","3","0"
"109","1","0"
"109","2","0"
"109","3","0"
"110","1","1"
"110","2","1"
"110","3","0"
"111","1","1"
"111","2","0"
"111","3","0"
"112","1","1"
"112","2","1"
"112","3","0"
"113","1","1"
"113","2","0"
"113","3","1"
"114","1","1"
"114","2","1"
"114","3","0"
"115","1","1"
"115","2","1"
"115","3","1"
"116","1","1"
"116","2","0"
"116","3","0"
"117","1","1"
"117","2","1"
"117","3","0"
"118","1","0"
"118","2","1"
"118","3","1"
"119","1","1"
"119","2","1"
"119","3","0"
"120","1","0"
"120","2","0"
"120","3","0"
"121","1","1"
"121","2","0"
"121","3","1"
"122","1","1"
"122","2","1"
"122","3","0"
"123","1","1"
"123","2","0"
"123","3","0"
"124","1","0"
"124","2","0"
"124","3","0"
"125","1","1"
"125","2","1"
"125","3","1"
"126","1","1"
"126","2","0"
"126","3","1"
"127","1","1"
"127","2","1"
"127","3","1"
"128","1","0"
"128","2","0"
"128","3","0"
"129","1","1"
"129","2","1"
"129","3","0"
"130","1","0"
"130","2","0"
"130","3","1"
"131","1","1"
"131","2","0"
"131","3","0"
"132","1","0"
"132","2","0"
"132","3","0"
"133","1","0"
"133","2","0"
"133","3","1"
"134","1","0"
"134","2","1"
"134","3","0"
"135","1","0"
"135","2","0"
"135","3","0"
"136","1","1"
"136","2","1"
"136","3","0"
"137","1","1"
"137","2","1"
"137","3","1"
"138","1","1"
"138","2","1"
"138","3","0"
"139","1","0"
"139","2","0"
"139","3","0"
"140","1","1"
"140","2","1"
"140","3","0"
"141","1","0"
"141","2","1"
"141","3","0"
"142","1","1"
"142","2","0"
"142","3","1"
"143","1","1"
"143","2","0"
"143","3","0"
"144","1","1"
"144","2","1"
"144","3","0"
"145","1","1"
"145","2","0"
"145","3","1"
"146","1","1"
"146","2","1"
"146","3","1"
"147","1","1"
"147","2","1"
"147","3","0"
"148","1","0"
"148","2","0"
"148","3","1"
"149","1","0"
"149","2","0"
"149","3","0"
"150","1","1"
"150","2","1"
"150","3","1"
"151","1","0"
"151","2","1"
"151","3","0"
"152","1","1"
"152","2","0"
"152","3","0"
"153","1","1"
"153","2","0"
"153","3","1"
"154","1","1"
"154","2","1"
"154","3","1"
"155","1","1"
"155","2","1"
"155","3","0"
"156","1","1"
"156","2","1"
"156","3","1"
"157","1","0"
"157","2","0"
"157","3","0"
"158","1","0"
"158","2","0"
"158","3","1"
"159","1","1"
"159","2","0"
"159","3","0"
"160","1","0"
"160","2","1"
"160","3","0"
"161","1","0"
"161","2","1"
"161","3","1"
"162","1","0"
"162","2","0"
"162","3","1"
"163","1","0"
"163","2","1"
"163","3","1"
"164","1","0"
"164","2","1"
"164","3","0"
"165","1","0"
"165","2","0"
"165","3","0"
"166","1","0"
"166","2","1"
"166","3","1"
"167","1","1"
"167","2","0"
"167","3","1"
"168","1","0"
"168","2","0"
"168","3","0"
"169","1","0"
"169","2","0"
"169","3","1"
"170","1","0"
"170","2","0"
"170","3","1"
"171","1","0"
"171","2","1"
"171","3","1"
"172","1","0"
"172","2","1"
"172","3","1"
"173","1","1"
"173","2","0"
"173","3","0"
"174","1","1"
"174","2","1"
"174","3","0"
"175","1","1"
"175","2","1"
"175","3","0"
"176","1","1"
"176","2","1"
"176","3","1"
"177","1","1"
"177","2","1"
"177","3","1"
"178","1","0"
"178","2","0"
"178","3","0"
"179","1","1"
"179","2","1"
"179","3","1"
"180","1","1"
"180","2","0"
"180","3","0"
"181","1","1"
"181","2","0"
"181","3","0"
"182","1","1"
"182","2","1"
"182","3","0"
"183","1","1"
"183","2","0"
"183","3","0"
"184","1","0"
"184","2","0"
"184","3","1"
"185","1","0"
"185","2","1"
"185","3","1"
"186","1","0"
"186","2","0"
"186","3","1"
"187","1","1"
"187","2","1"
"187","3","1"
"188","1","1"
"188","2","1"
"188","3","0"
"189","1","1"
"189","2","0"
"189","3","1"
"190","1","0"
"190","2","0"
"190","3","1"
"191","1","1"
"191","2","1"
"191","3","1"
"192","1","1"
"192","2","0"
"192","3","1"
"193","1","1"
"193","2","1"
"193","3","1"
"194","1","0"
"194","2","0"
"194","3","0"
"195","1","1"
"195","2","1"
"195","3","1"
"196","1","0"
"196","2","1"
"196","3","1"
"197","1","0"
"197","2","1"
"197","3","1"
"198","1","0"
"198","2","1"
"198","3","1"
"199","1","1"
"199","2","1"
"199","3","1"
"200","1","1"
"200","2","1"
"200","3","1"
"201","1","0"
"201","2","1"
"201","3","1"
"202","1","0"
"202","2","1"
"202","3","0"
"203","1","0"
"203","2","0"
"203","3","1"
"204","1","1"
"204","2","0"
"204","3","0"
"205","1","0"
"205","2","0"
"205","3","0"
"206","1","1"
"206","2","1"
"206","3","0"
"207","1","0"
"207","2","0"
"207","3","1"
"208","1","0"
"208","2","1"
"208","3","0"
"209","1","0"
"209","2","1"
"209","3","0"
"210","1","1"
"210","2","0"
"210","3","0"
"211","1","1"
"211","2","0"
"211","3","1"
"212","1","0"
"212","2","1"
"212","3","1"
"213","1","0"
"213","2","1"
"213","3","1"
"214","1","0"
"214","2","0"
"214","3","0"
"215","1","0"
"215","2","1"
"215","3","0"
"216","1","0"
"216","2","1"
"216","3","1"
"217","1","1"
"217","2","0"
"217","3","0"
"218","1","1"
"218","2","0"
"218","3","1"
"219","1","1"
"219","2","0"
"219","3","1"
"220","1","0"
"220","2","0"
"220","3","0"
"221","1","0"
"221","2","1"
"221","3","0"
"222","1","0"
"222","2","1"
"222","3","0"
"223","1","0"
"223","2","0"
"223","3","0"
"224","1","1"
"224","2","1"
"224","3","1"
"225","1","0"
"225","2","0"
"225","3","1"
"226","1","0"
"226","2","1"
"226","3","0"
"227","1","0"
"227","2","0"
"227","3","1"
"228","1","0"
"228","2","1"
"228","3","1"
"229","1","0"
"229","2","0"
"229","3","1"
"230","1","1"
"230","2","0"
"230","3","0"
"231","1","0"
"231","2","0"
"231","3","1"
"232","1","1"
"232","2","0"
"232","3","1"
"233","1","0"
"233","2","0"
"233","3","1"
"234","1","0"
"234","2","1"
"234","3","0"
"235","1","1"
"235","2","1"
"235","3","0"
"236","1","0"
"236","2","0"
"236","3","0"
"237","1","0"
"237","2","1"
"237","3","0"
"238","1","1"
"238","2","0"
"238","3","1"
"239","1","0"
"239","2","1"
"239","3","0"
"240","1","1"
"240","2","1"
"240","3","0"
"241","1","1"
"241","2","1"
"241","3","0"
"242","1","1"
"242","2","1"
"242","3","0"
"243","1","1"
"243","2","0"
"243","3","0"
"244","1","0"
"244","2","1"
"244","3","0"
"245","1","1"
"245","2","0"
"245","3","1"
"246","1","0"
"246","2","0"
"246","3","1"
"247","1","1"
"247","2","1"
"247","3","1"
"248","1","1"
"248","2","1"
"248","3","0"
"249","1","1"
"249","2","1"
"249","3","0"
"250","1","0"
"250","2","1"
"250","3","0"
"251","1","0"
"251","2","0"
"251","3","0"
"252","1","1"
"252","2","0"
"252","3","1"
"253","1","1"
"253","2","0"
"253","3","0"
"254","1","1"
"254","2","0"
"254","3","0"
"255","1","0"
"255","2","1"
"255","3","1"
"256","1","0"
"256","2","0"
"256","3","0"
"257","1","1"
"257","2","0"
"257","3","0"
"258","1","0"
"258","2","0"
"258","3","0"
"259","1","0"
"259","2","0"
"259","3","0"
"260","1","0"
"260","2","0"
"260","3","0"
"261","1","0"
"261","2","0"
"261","3","1"
"262","1","1"
"262","2","0"
"262","3","1"
"263","1","1"
"263","2","1"
"263","3","1"
"264","1","1"
"264","2","1"
"264","3","0"
"265","1","0"
"265","2","0"
"265","3","0"
"266","1","0"
"266","2","0"
"266","3","0"
"267","1","0"
"267","2","1"
"267","3","0"
"268","1","0"
"268","2","0"
"268","3","0"
"269","1","0"
"269","2","0"
"269","3","1"
"270","1","0"
"270","2","1"
"270","3","1"
"271","1","1"
"271","2","1"
"271","3","0"
"272","1","1"
"272","2","0"
"272","3","0"
"273","1","0"
"273","2","1"
"273","3","1"
"274","1","1"
"274","2","0"
"274","3","1"
"275","1","1"
"275","2","1"
"275","3","1"
"276","1","0"
"276","2","0"
"276","3","1"
"277","1","1"
"277","2","1"
"277","3","0"
"278","1","1"
"278","2","0"
"278","3","0"
"279","1","1"
"279","2","1"
"279","3","1"
"280","1","0"
"280","2","1"
"280","3","1"
"281","1","1"
"281","2","1"
"281","3","1"
"282","1","1"
"282","2","0"
"282","3","0"
"283","1","1"
"283","2","1"
"283","3","0"
"284","1","1"
"284","2","1"
"284","3","0"
"285","1","1"
"285","2","1"
"285","3","0"
"286","1","1"
"286","2","1"
"286","3","1"
"287","1","1"
"287","2","0"
"287","3","0"
"288","1","1"
"288","2","1"
"288","3","0"
"289","1","1"
"289","2","0"
"289","3","0"
"290","1","1"
"290","2","1"
"290","3","0"
"291","1","0"
"291","2","0"
"291","3","0"
"292","1","1"
"292","2","1"
"292","3","1"
"293","1","0"
"293","2","1"
"293","3","0"
"294","1","1"
"294","2","0"
"294","3","0"
"295","1","0"
"295","2","1"
"295","3","0"
"296","1","1"
"296","2","1"
"296","3","0"
"297","1","0"
"297","2","0"
"297","3","1"
"298","1","1"
"298","2","0"
"298","3","0"
"299","1","1"
"299","2","0"
"299","3","0"
"300","1","1"
"300","2","1"
"300","3","1"
"301","1","1"
"301","2","0"
"301","3","1"
"302","1","1"
"302","2","1"
"302","3","0"
"303","1","0"
"303","2","1"
"303","3","0"
"304","1","0"
"304","2","0"
"304","3","1"
"305","1","1"
"305","2","0"
"305","3","1"
"306","1","0"
"306","2","0"
"306","3","1"
"307","1","0"
"307","2","0"
"307","3","0"
"308","1","0"
"308","2","0"
"308","3","1"
"309","1","0"
"309","2","1"
"309","3","0"
"310","1","1"
"310","2","0"
"310","3","1"
"311","1","0"
"311","2","1"
